Año;Codigo Provincia;Codigo Municipio;Municipio;Codigo Comarca;Comarca;codigo producto;grupo de cultivo;cultivo;Superficie Secano que no produce;Superficie Secano en producción;Superficie Regadío que no produce;Superficie Regadío en producción
2013;49;186;SAN CEBRIAN DE CASTRO;4;CAMPOS-PAN;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;12;;
2013;49;187;SAN CRISTOBAL DE ENTREVIÑAS;2;BENAVENTE Y LOS VALLES;1200/01;FRUTALES;MANZANO;;;;2
2013;49;187;SAN CRISTOBAL DE ENTREVIÑAS;2;BENAVENTE Y LOS VALLES;1200/02;FRUTALES;PERAL;;;;2
2013;49;187;SAN CRISTOBAL DE ENTREVIÑAS;2;BENAVENTE Y LOS VALLES;1200/07;FRUTALES;CEREZO Y GUINDO;;1;;
2013;49;187;SAN CRISTOBAL DE ENTREVIÑAS;2;BENAVENTE Y LOS VALLES;1200/18;FRUTALES;ALMENDRO;;;;1
2013;49;187;SAN CRISTOBAL DE ENTREVIÑAS;2;BENAVENTE Y LOS VALLES;1200/19;FRUTALES;NOGAL;;;;1
2013;49;187;SAN CRISTOBAL DE ENTREVIÑAS;2;BENAVENTE Y LOS VALLES;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;22;;
2013;49;187;SAN CRISTOBAL DE ENTREVIÑAS;2;BENAVENTE Y LOS VALLES;1500/00;VIVEROS;VIVEROS;;;;1
2013;49;188;SAN ESTEBAN DEL MOLAR;4;CAMPOS-PAN;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;2;;
2013;49;191;SAN MIGUEL DE LA RIBERA;6;DUERO BAJO;1200/01;FRUTALES;MANZANO;;;;1
2013;49;191;SAN MIGUEL DE LA RIBERA;6;DUERO BAJO;1200/02;FRUTALES;PERAL;;;;1
2013;49;191;SAN MIGUEL DE LA RIBERA;6;DUERO BAJO;1200/18;FRUTALES;ALMENDRO;;1;;
2013;49;191;SAN MIGUEL DE LA RIBERA;6;DUERO BAJO;1200/22;FRUTALES;PISTACHO;2;;2;
2013;49;191;SAN MIGUEL DE LA RIBERA;6;DUERO BAJO;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;66;;
2013;49;191;SAN MIGUEL DE LA RIBERA;6;DUERO BAJO;1400/02;OLIVAR;OLI ACEITUNA ACEITE;;;1;
2013;49;193;SAN PEDRO DE CEQUE;2;BENAVENTE Y LOS VALLES;1200/01;FRUTALES;MANZANO;;;;1
2013;49;193;SAN PEDRO DE CEQUE;2;BENAVENTE Y LOS VALLES;1200/02;FRUTALES;PERAL;;;;1
2013;49;193;SAN PEDRO DE CEQUE;2;BENAVENTE Y LOS VALLES;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;126;1;
2013;49;194;SAN PEDRO DE LA NAVE-ALMENDRA;4;CAMPOS-PAN;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;10;;
2013;49;197;SANTA CLARA DE AVEDILLO;6;DUERO BAJO;1200/01;FRUTALES;MANZANO;;1;;
2013;49;197;SANTA CLARA DE AVEDILLO;6;DUERO BAJO;1200/18;FRUTALES;ALMENDRO;;1;;
2013;49;197;SANTA CLARA DE AVEDILLO;6;DUERO BAJO;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;6;;
